Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
35a9b6bc4053b3d585e31a3a25d8b0a5	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	[Clostridium]_colinum
e65380cdc5e3fb57a3be936961071c39	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae1	Alcanivorax	Alcanivorax_venustensis
0cd31f737bd612dc55357a2e3cd3a94a	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae1	Alcanivorax	Alcanivorax_venustensis
8bd45e927b5fdaac5693ee6c0cc94ec1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	AEGEAN-169_marine_group	alpha_proteobacterium
b95dd59b028f270dcdb2d1671387cc74	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169_marine_group	AEGEAN-169_marine_group	alpha_proteobacterium
5b40ff452f236eed8cc56d1612417cbb	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudohoeflea	alpha_proteobacterium
d0ec7f2a454ed03efee8ed04dd78614b	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	SAR116_clade	alpha_proteobacterium
cbb9c4ae95568dfc55300099f656fdf4	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas_litorea
22138f8cf1abbef79032f32d6ecbaa95	Bacteria	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Alteromonas_macleodii
c5f57a20c4858f35f19eb54bee578c0d	Bacteria	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Marinimicrobia_(SAR406_clade)	Alteromonas_macleodii
7c6caf692f6158fa656244f9d6ec015f	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas_mediterranea
36baafb4399b3f9a3b3c982fb08d723c	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	Aquimarina_sp.
5721f899197b88b10e2cf4f8ded29f34	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopelagicus	archaeon_enrichment
2e04fa7eb049fc5736d3156f35820892	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Arctic_seawater
f9fa265101366052a6415147e194cd71	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Arenibacter	Arenibacter_sp.
